27
344	142
404	345
376	463	17.5215
128	611	19.3678
634	334	8.85279
531	421	7.4019
690	610	32.8635
76	387	6.42128
135	240	31.4607
80	91	23.0647
363	75	4.60824
497	392	8.54147
509	27	10.0854
246	523	5.48825
252	561	3.94959
244	632	11.6447
279	55	15.0335
615	383	8.08683
424	351	3.77097
537	82	6.81279
294	570	6.22301
134	726	15.1051
401	288	7.9091
574	32	1.344
374	50	4.55912
22	418	6.70825
305	642	9.86427
571	39	1.43756
352	333	8.61796
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
