30	5
283	188
89	558
380	583	1.01523
376	588	0.642698
379	580	0.181997
386	587	2.00195
384	581	0.860041
376	586	0.202914
67	350	0.203909
70	352	0.945722
75	347	1.87665
67	356	0.344034
68	355	0.246222
70	346	0.440446
599	25	0.172228
598	24	0.403372
595	19	0.218955
595	18	0.200207
600	18	2.13795
599	27	0.476423
351	208	0.329814
353	201	0.777084
351	202	0.174073
352	209	0.206522
345	208	0.771149
346	210	0.233793
58	18	0.844873
67	19	0.160833
63	26	2.73633
62	20	0.207991
59	21	0.392116
67	18	0.196321
0.376534	0.30208	0.390836	0.338824	0.386558	0.413714	0.408046	0.485382	0.390033	0.401411	0.411096	0.317801	0.47314	0.482358	0.407026	0.355091	0.493726	0.453894	0.306818	0.401755	0.402786	0.447186	0.458891	0.418894	0.408406	0.361176	0.327715	0.373271	0.486326	0.383481
0.403858	0.433902	0.543365	0.584493	0.552778	0.496941	0.566545	0.426131	0.518957	0.431752	0.561555	0.499624	0.406291	0.403452	0.498235	0.531879	0.500774	0.505935	0.536748	0.411176	0.474633	0.402751	0.543252	0.494078	0.503505	0.448023	0.483394	0.445186	0.442665	0.459698
