32
48	42
49	85
79	68	8.99337
29	14	4.05937
30	36	4.39082
67	22	2.69075
100	50	1.94786
62	46	2.23474
94	78	8.62192
34	7	3.49817
100	25	0.621672
78	33	3.08654
96	46	2.69143
80	26	2.95591
67	47	2.24685
23	44	4.20096
97	60	3.09704
28	80	5.4237
67	87	8.72003
100	31	2.61488
61	26	2.95896
68	53	2.82212
7	48	7.07002
76	5	0.908935
89	98	10.0896
100	54	1.79951
88	46	3.72535
91	37	4.19919
75	7	1.09225
40	75	5.30567
25	53	4.52219
39	56	6.00862
99	24	0.61479
71	26	2.51902
0.519129	0.364903	0.3203	0.472621	0.414948	0.385036	0.397462	0.455559	0.443883	0.529665	0.515532	0.358889	0.472724	0.444398	0.452647	0.311117	0.395215	0.463191	0.361889	0.549032	0.470766	0.529255	0.549542	0.301107	0.527122	0.453717	0.535841	0.359205	0.505648	0.306644	0.434314	0.413762
