28
95	37
13	73
64	91	3.17357
14	32	3.22425
98	85	3.84733
61	9	1.32556
98	99	2.87296
46	46	1.19998
91	57	2.06367
76	94	2.8315
4	77	1.55925
100	58	2.47002
19	10	1.52822
51	45	1.11958
9	9	0.600831
59	69	2.80259
19	70	1.42611
73	9	2.2918
54	80	3.18131
10	7	0.485762
41	49	1.68298
51	64	2.27736
40	55	1.26696
65	12	1.27912
0	35	3.37298
93	1	5.7561
34	46	2.25351
92	30	2.23193
2	82	1.3857
20	5	1.41983
0.530851	0.528749	0.393453	0.433229	0.39393	0.326982	0.46595	0.49288	0.431436	0.349944	0.459865	0.395356	0.533728	0.467417	0.366191	0.523297	0.375052	0.547361	0.394961	0.373349	0.490085	0.332027	0.417366	0.388934	0.405164	0.526715	0.395858	0.467132
