32
34	92
56	73
78	11	2.97227
45	53	3.21808
86	62	6.64319
15	100	1.97384
86	42	2.89069
91	45	2.82649
98	87	5.43917
5	58	4.29983
43	46	3.53642
22	37	8.8128
91	30	4.45904
17	96	2.12642
69	28	2.98317
90	77	3.49934
77	5	2.6769
55	40	4.97426
35	70	1.42732
65	45	5.19633
42	28	7.79568
68	22	2.64831
24	83	6.41143
2	48	1.96965
6	47	1.9293
82	80	0.566107
94	40	2.76883
3	6	17.7799
72	53	5.25809
36	73	1.50845
74	36	3.81988
62	20	2.82101
79	27	4.72363
81	79	0.573532
0.418585	0.425454	0.48266	0.516487	0.320948	0.519042	0.31221	0.541428	0.361537	0.36398	0.446165	0.521306	0.448106	0.428535	0.548679	0.342934	0.307053	0.397013	0.37857	0.429069	0.45234	0.549804	0.381282	0.353402	0.515042	0.342707	0.520841	0.321817	0.488981	0.479749	0.41186	0.366274
