33
47	21
85	8
79	40	2.82243
85	48	3.50321
41	94	1.62759
39	17	3.26868
29	26	3.0005
4	70	1.06192
86	83	2.48256
6	68	1.12262
12	11	2.43198
78	81	3.25591
83	32	3.54136
77	4	2.88965
56	69	6.9074
12	53	3.86143
34	32	2.67412
45	51	3.36771
2	62	2.37083
86	14	1.75335
85	90	2.26761
35	48	3.94314
51	13	3.37892
59	94	2.02643
95	90	3.34521
38	97	1.42547
56	88	2.59168
68	32	3.33831
92	15	2.25456
10	64	2.25554
87	9	0.748097
100	63	7.33567
25	37	3.23504
10	17	2.52298
67	43	3.99018
0.480817	0.359914	0.344881	0.465039	0.519485	0.347738	0.548197	0.312014	0.338568	0.376532	0.312443	0.351296	0.364936	0.348417	0.378799	0.371088	0.382583	0.50123	0.30154	0.434175	0.419628	0.383886	0.508385	0.327018	0.462638	0.309664	0.54148	0.517336	0.441861	0.442164	0.479666	0.4853	0.341577
