30
46	33
31	67
65	16	4.10633
49	81	2.0032
20	45	4.31984
32	60	0.842307
46	19	3.43111
28	86	2.38656
35	10	3.04226
32	64	0.722285
75	92	1.7209
50	68	3.1878
30	25	3.27689
46	36	0.77276
88	80	2.88588
42	88	2.86844
85	37	2.29696
96	23	3.37846
42	34	0.933651
8	84	2.50294
96	40	2.01148
81	1	4.72541
52	35	1.26626
5	11	4.10233
66	85	1.41111
19	81	2.67641
83	29	2.17557
8	27	4.64388
66	90	1.17676
78	85	2.1805
46	54	3.79565
92	47	2.39455
0.313002	0.417535	0.356916	0.398621	0.380028	0.473645	0.472401	0.3315	0.515277	0.53254	0.492851	0.404705	0.49784	0.519444	0.459285	0.370934	0.337067	0.52963	0.401192	0.464108	0.44548	0.3527	0.338233	0.321939	0.480095	0.542916	0.38739	0.361367	0.372028	0.446702
