32
699	69
643	1018
647	679	28.2039
321	115	54.0415
854	665	14.751
820	418	25.8739
254	896	59.2368
929	274	11.4549
864	330	25.6964
235	666	41.2806
69	71	24.9391
604	160	22.1737
937	584	29.543
850	196	35.3796
115	772	23.4344
797	329	14.0033
861	707	15.1051
945	873	30.8555
109	501	41.5504
766	1010	46.7863
227	550	39.7119
814	768	23.7297
316	273	53.6042
580	719	23.9823
526	470	94.6194
62	1	24.6583
766	360	14.2261
950	950	14.0448
50	757	21.6105
788	569	20.1543
952	304	13.57
847	562	18.0375
981	973	14.0837
614	233	25.521
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
