21
20.746	26.731
16.454	32.999
23.059	12.371	1.0
23.795	27.324	1.0
12.88	27.097	1.0
14.43	30.352	1.0
8.76	6.144	1.0
23.668	34.302	1.0
33.705	29.463	1.0
33.538	17.867	1.0
2.349	14.329	1.0
24.693	2.193	1.0
0.086	36.759	1.0
20.024	33.349	1.0
35.144	8.863	1.0
23.171	17.275	1.0
12.287	17.853	1.0
11.14	20.553	1.0
29.091	5.556	1.0
8.512	26.128	1.0
9.341	38.53	1.0
16.861	7.592	1.0
15.821	37.35	1.0
0.717	0.843	0.848	0.878	0.739	0.823	0.885	0.786	0.866	0.803	0.858	0.8	0.874	0.738	0.793	0.852	0.805	0.849	0.766	0.85	0.836
