27
48.891	46.068
63.75	35.213
41.617	54.124	1.0
16.079	44.67	1.0
7.554	63.293	1.0
35.168	8.903	1.0
43.37	14.051	1.0
5.05	36.048	1.0
41.824	48.605	1.0
49.592	57.192	1.0
35.834	0.429	1.0
14.947	27.264	1.0
61.945	16.28	1.0
16.17	51.399	1.0
46.511	20.79	1.0
58.636	32.89	1.0
17.579	59.314	1.0
0.52	62.984	1.0
40.294	34.194	1.0
61.239	34.175	1.0
53.991	53.741	1.0
16.38	24.66	1.0
47.11	30.342	1.0
33.265	13.325	1.0
52.425	15.723	1.0
9.668	22.297	1.0
40.842	27.591	1.0
43.41	37.766	1.0
12.614	15.121	1.0
0.87	0.797	0.828	0.884	0.703	0.85	0.747	0.867	0.804	0.704	0.79	0.703	0.877	0.707	0.861	0.886	0.708	0.849	0.732	0.797	0.711	0.733	0.852	0.824	0.765	0.861	0.762
