27
0.35	13.9
2.646	4.908
12.399	15.723	1.0
0.74	27.572	1.0
44.583	28.728	1.0
17.607	44.495	1.0
1.323	3.138	1.0
17.442	25.198	1.0
2.642	30.662	1.0
22.462	23.928	1.0
35.975	29.749	1.0
38.45	39.668	1.0
33.381	12.924	1.0
23.041	36.976	1.0
34.089	23.907	1.0
36.762	32.616	1.0
41.453	0.793	1.0
30.914	43.642	1.0
9.949	31.098	1.0
29.025	36.917	1.0
45.805	10.124	1.0
32.213	1.026	1.0
28.756	19.899	1.0
22.941	9.337	1.0
5.214	27.256	1.0
17.815	39.615	1.0
19.573	31.344	1.0
16.703	32.417	1.0
23.748	4.274	1.0
0.798	0.745	0.875	0.825	0.859	0.706	0.703	0.888	0.783	0.756	0.795	0.768	0.816	0.702	0.726	0.821	0.744	0.784	0.777	0.752	0.713	0.743	0.709	0.842	0.81	0.819	0.706
