26
40.011	4.309
13.314	8.604
38.027	39.793	1.0
12.125	2.535	1.0
11.379	37.004	1.0
13.429	25.947	1.0
25.87	25.311	1.0
40.88	17.116	1.0
21.434	42.204	1.0
12.823	40.72	1.0
33.187	30.416	1.0
2.786	5.185	1.0
10.634	30.501	1.0
30.332	43.758	1.0
29.494	23.909	1.0
4.774	18.357	1.0
31.402	14.643	1.0
9.853	40.204	1.0
3.338	9.289	1.0
31.056	5.341	1.0
5.965	7.903	1.0
16.289	2.48	1.0
5.166	24.016	1.0
7.548	0.45	1.0
38.379	17.225	1.0
19.921	8.149	1.0
42.626	20.488	1.0
18.781	30.209	1.0
0.778	0.761	0.888	0.899	0.757	0.899	0.755	0.805	0.832	0.851	0.756	0.755	0.756	0.887	0.76	0.854	0.723	0.762	0.774	0.709	0.892	0.823	0.758	0.782	0.781	0.731
