25
30.232	32.137
26.311	10.745
40.049	11.576	1.0
6.957	39.565	1.0
40.948	5.652	1.0
20.262	10.106	1.0
22.636	35.066	1.0
44.162	17.396	1.0
36.392	0.475	1.0
10.136	41.258	1.0
1.859	39.799	1.0
31.887	15.004	1.0
16.358	43.796	1.0
13.112	11.553	1.0
27.257	21.819	1.0
16.01	40.673	1.0
42.064	8.253	1.0
9.359	4.26	1.0
32.835	35.468	1.0
17.102	31.787	1.0
2.959	43.39	1.0
38.189	41.394	1.0
2.568	23.484	1.0
6.128	11.556	1.0
37.981	30.502	1.0
30.213	29.461	1.0
20.464	28.918	1.0
0.771	0.771	0.824	0.77	0.797	0.727	0.758	0.707	0.835	0.882	0.796	0.851	0.886	0.897	0.752	0.845	0.782	0.757	0.726	0.815	0.829	0.9	0.746	0.876	0.855
