20
385	169
121	172
230	134	12.7296
10	333	28.1218
381	258	19.2225
162	175	7.98832
126	159	2.98126
117	321	20.806
188	142	9.61661
33	112	18.6933
389	54	6.00378
400	94	4.7534
387	184	4.28799
175	229	4.443
27	204	7.91269
267	341	16.4223
96	169	6.73697
399	73	5.91611
157	240	6.08191
214	377	18.0343
16	236	7.40413
113	238	11.5813
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
