24
0.944	24.992
4.581	33.516
5.167	28.632	1.0
15.805	33.514	1.0
39.602	15.652	1.0
27.958	16.025	1.0
38.794	24.292	1.0
14.158	7.581	1.0
20.208	4.102	1.0
29.108	12.832	1.0
39.411	5.169	1.0
15.555	30.89	1.0
39.55	11.533	1.0
6.39	39.568	1.0
36.473	11.122	1.0
13.441	39.343	1.0
11.343	21.574	1.0
11.582	42.298	1.0
43.249	38.409	1.0
41.471	13.363	1.0
6.693	13.983	1.0
39.888	39.218	1.0
33.696	39.826	1.0
31.222	16.338	1.0
18.605	36.505	1.0
1.106	31.302	1.0
0.715	0.839	0.815	0.892	0.898	0.841	0.822	0.763	0.755	0.711	0.724	0.719	0.731	0.819	0.83	0.749	0.873	0.731	0.834	0.895	0.85	0.882	0.722	0.788
