19
342	311
115	272
59	277	5.37429
253	185	5.83697
287	39	12.9733
76	26	6.35993
331	299	2.03505
284	159	6.63721
98	360	1.11774
343	130	11.4356
267	283	7.01402
136	328	3.45008
346	212	9.00456
76	311	4.4763
176	359	9.01003
231	256	7.94071
202	55	14.6762
120	300	5.09747
192	288	5.29624
91	357	1.43181
46	62	7.2363
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
