27
45.079	25.063
26.799	11.725
26.384	14.474	1.0
18.092	30.88	1.0
20.471	54.26	1.0
6.382	44.746	1.0
34.976	6.284	1.0
26.227	5.577	1.0
15.142	13.346	1.0
27.048	54.023	1.0
17.473	43.373	1.0
14.124	53.44	1.0
50.292	3.647	1.0
27.395	46.368	1.0
45.286	3.691	1.0
30.849	20.014	1.0
29.63	6.286	1.0
7.199	22.549	1.0
32.914	42.2	1.0
51.971	15.309	1.0
53.406	33.958	1.0
3.093	50.886	1.0
23.05	49.266	1.0
23.047	41.048	1.0
26.542	0.939	1.0
37.081	1.83	1.0
27.784	28.187	1.0
37.147	35.718	1.0
11.181	38.391	1.0
0.786	0.77	0.734	0.792	0.797	0.811	0.892	0.723	0.849	0.7	0.747	0.806	0.867	0.733	0.755	0.872	0.705	0.817	0.831	0.748	0.861	0.803	0.81	0.703	0.87	0.856	0.866
