21
25.703	12.221
33.455	38.995
19.623	29.368	1.0
2.576	37.058	1.0
37.306	22.639	1.0
40.404	37.12	1.0
35.146	5.476	1.0
23.459	10.784	1.0
21.561	32.272	1.0
5.412	34.451	1.0
30.036	24.191	1.0
27.202	3.082	1.0
3.739	28.252	1.0
23.113	35.155	1.0
0.454	35.595	1.0
19.541	17.829	1.0
9.851	28.457	1.0
36.93	33.079	1.0
26.066	10.684	1.0
0.266	14.289	1.0
11.142	37.511	1.0
20.9	11.005	1.0
14.226	34.585	1.0
0.805	0.773	0.865	0.888	0.89	0.858	0.756	0.762	0.855	0.851	0.882	0.863	0.701	0.736	0.785	0.833	0.82	0.856	0.738	0.859	0.892
