25
50.621	5.368
19.681	59.888
37.846	11.953	1.0
21.286	51.54	1.0
23.169	46.668	1.0
5.364	19.225	1.0
30.726	4.915	1.0
37.988	56.261	1.0
12.813	49.845	1.0
10.767	54.8	1.0
18.955	58.229	1.0
53.207	37.941	1.0
10.347	18.103	1.0
21.967	61.697	1.0
28.621	0.348	1.0
4.132	58.477	1.0
58.788	33.549	1.0
33.399	33.211	1.0
61.765	16.012	1.0
28.702	20.595	1.0
21.82	10.865	1.0
12.038	8.642	1.0
39.806	50.877	1.0
53.466	4.615	1.0
42.84	26.959	1.0
7.305	8.28	1.0
51.344	26.75	1.0
0.866	0.808	0.755	0.786	0.883	0.755	0.856	0.811	0.809	0.832	0.897	0.835	0.815	0.851	0.833	0.798	0.809	0.726	0.78	0.839	0.874	0.812	0.874	0.708	0.819
