23
11.284	21.75
16.127	28.346
58.36	24.695	1.0
33.507	15.376	1.0
41.796	21.618	1.0
19.952	59.103	1.0
52.861	11.618	1.0
12.986	16.394	1.0
52.122	16.376	1.0
21.076	54.927	1.0
46.844	42.384	1.0
20.797	49.419	1.0
32.954	48.664	1.0
35.297	30.642	1.0
40.835	13.986	1.0
37.785	56.552	1.0
12.268	43.471	1.0
47.824	0.984	1.0
2.525	12.154	1.0
5.197	56.644	1.0
9.435	51.099	1.0
38.854	1.923	1.0
38.006	9.065	1.0
56.311	9.746	1.0
37.194	51.029	1.0
0.757	0.722	0.702	0.792	0.703	0.774	0.709	0.708	0.758	0.76	0.72	0.805	0.849	0.808	0.721	0.701	0.827	0.838	0.794	0.81	0.88	0.855	0.887
