28
29.675	27.265
47.601	3.817
52.714	43.396	1.0
18.375	2.739	1.0
55.124	6.933	1.0
27.996	30.918	1.0
20.589	51.617	1.0
34.65	51.167	1.0
0.318	37.261	1.0
18.899	46.061	1.0
23.034	7.888	1.0
25.623	14.131	1.0
45.258	10.329	1.0
18.629	13.276	1.0
26.113	34.738	1.0
4.098	26.275	1.0
54.726	13.966	1.0
16.144	21.588	1.0
48.588	50.66	1.0
38.031	29.227	1.0
55.645	38.207	1.0
17.921	36.547	1.0
25.983	0.888	1.0
3.52	12.53	1.0
18.603	39.24	1.0
7.654	47.189	1.0
14.035	27.688	1.0
9.858	25.555	1.0
51.011	49.559	1.0
13.241	0.419	1.0
0.863	0.832	0.762	0.747	0.87	0.812	0.867	0.788	0.836	0.838	0.86	0.814	0.719	0.856	0.871	0.829	0.722	0.776	0.741	0.707	0.727	0.769	0.883	0.85	0.869	0.893	0.857	0.788
