21
6.363	32.129
3.307	25.743
27.587	18.345	1.0
3.94	14.742	1.0
4.848	34.104	1.0
16.857	8.34	1.0
12.835	14.546	1.0
20.253	37.655	1.0
36.32	35.392	1.0
12.965	4.608	1.0
29.122	4.55	1.0
10.929	8.071	1.0
0.159	37.272	1.0
24.281	27.799	1.0
5.093	24.811	1.0
26.423	7.776	1.0
32.121	14.092	1.0
15.427	39.964	1.0
13.628	12.156	1.0
22.324	3.059	1.0
40.019	35.536	1.0
11.365	27.676	1.0
17.168	36.085	1.0
0.872	0.742	0.888	0.773	0.818	0.897	0.865	0.814	0.753	0.825	0.859	0.824	0.716	0.704	0.726	0.753	0.857	0.849	0.703	0.83	0.808
