23
20.418	1.063
4.632	3.698
31.446	17.537	1.0
38.427	27.726	1.0
26.097	39.766	1.0
36.214	24.521	1.0
20.127	37.751	1.0
3.592	33.972	1.0
26.968	36.957	1.0
10.031	12.738	1.0
19.222	5.586	1.0
27.376	9.887	1.0
18.898	33.511	1.0
13.678	34.684	1.0
30.242	4.528	1.0
2.181	36.37	1.0
20.88	19.525	1.0
37.08	10.78	1.0
26.359	4.952	1.0
42.081	19.786	1.0
34.531	22.296	1.0
16.503	2.813	1.0
22.757	11.505	1.0
34.812	16.561	1.0
7.023	26.107	1.0
0.831	0.842	0.892	0.779	0.758	0.842	0.894	0.8	0.77	0.711	0.846	0.711	0.827	0.799	0.856	0.724	0.739	0.875	0.827	0.797	0.719	0.881	0.847
