35
292	1091
926	133
29	416	49.3664
581	171	37.6204
417	524	46.7048
234	1086	13.8647
82	1021	41.9576
1128	61	30.5116
535	785	24.9458
210	517	8.50493
657	346	18.7867
728	126	29.44
878	380	30.7364
1196	985	29.4461
1165	202	32.7755
345	727	23.8431
284	188	64.1295
710	843	30.2185
943	146	4.46335
449	759	23.3084
788	667	15.9889
993	410	27.23
1045	208	34.4098
876	102	12.4814
237	941	37.0501
242	722	20.7531
738	25	26.7251
734	648	15.6268
667	969	37.5189
917	1016	58.116
714	301	17.3713
599	1104	40.6658
1014	809	44.9861
1182	843	29.8053
204	484	6.9047
209	643	17.2131
495	324	38.1491
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
