22
11.969	4.05
15.065	22.771
17.387	20.761	1.0
9.328	5.287	1.0
10.301	19.715	1.0
19.768	22.942	1.0
5.671	22.49	1.0
14.016	24.94	1.0
21.65	10.169	1.0
2.789	20.83	1.0
12.424	8.571	1.0
1.604	7.861	1.0
9.137	16.755	1.0
20.605	5.693	1.0
23.086	12.941	1.0
0.756	22.67	1.0
1.199	5.242	1.0
22.835	21.579	1.0
7.208	13.822	1.0
5.606	18.652	1.0
8.322	11.216	1.0
9.958	1.249	1.0
17.971	6.681	1.0
24.503	7.09	1.0
0.556	0.562	0.66	0.53	0.63	0.54	0.632	0.543	0.532	0.647	0.564	0.514	0.53	0.666	0.565	0.591	0.585	0.655	0.552	0.544	0.546	0.663
