23
20.256	11.965
2.183	31.839
36.567	44.073	1.0
17.042	38.397	1.0
34.832	22.43	1.0
13.182	25.294	1.0
30.489	9.069	1.0
5.118	18.076	1.0
48.827	30.291	1.0
5.763	5.017	1.0
48.03	26.286	1.0
3.089	34.765	1.0
6.917	31.833	1.0
30.08	0.497	1.0
22.533	27.597	1.0
24.025	47.44	1.0
11.162	23.354	1.0
37.569	49.495	1.0
38.184	7.065	1.0
33.156	45.149	1.0
18.929	19.206	1.0
50.325	23.197	1.0
25.363	34.962	1.0
25.064	44.897	1.0
10.653	18.051	1.0
0.854	0.744	0.841	0.786	0.776	0.717	0.785	0.787	0.846	0.806	0.853	0.726	0.844	0.899	0.807	0.732	0.893	0.874	0.703	0.871	0.746	0.763	0.827
