35
214	985
988	267
472	924	17.2175
710	724	14.5827
626	648	16.8387
155	1084	22.3412
759	1045	12.0834
1068	899	14.0626
993	289	3.16402
145	20	2.51964
1124	517	19.5414
1015	700	6.26991
374	21	41.5791
791	600	18.8842
204	888	14.3435
574	912	4.98838
996	739	5.39199
343	845	11.2896
462	794	23.3345
492	215	35.824
292	879	8.78589
703	529	12.5076
140	938	15.6159
1051	141	24.6083
671	1170	18.1661
793	460	20.9901
597	893	3.5359
1072	1046	18.5166
680	1054	10.2193
941	502	7.16774
154	739	3.30349
462	424	37.5133
971	553	8.88125
137	767	5.43823
993	981	11.4446
128	11	2.73623
104	459	38.3753
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
