25
28.851	20.058
44.449	24.595
29.162	41.151	1.0
20.496	12.201	1.0
28.394	1.511	1.0
48.387	42.365	1.0
49.758	16.217	1.0
24.965	33.406	1.0
36.582	41.235	1.0
13.611	33.631	1.0
6.219	39.114	1.0
40.215	21.437	1.0
2.821	47.196	1.0
37.742	19.048	1.0
42.132	4.51	1.0
52.141	18.355	1.0
33.188	38.307	1.0
7.791	29.427	1.0
22.072	46.728	1.0
23.167	30.551	1.0
5.576	0.181	1.0
25.475	1.571	1.0
1.678	20.524	1.0
20.65	31.203	1.0
28.867	30.78	1.0
45.349	30.433	1.0
51.726	31.245	1.0
0.878	0.705	0.827	0.813	0.875	0.708	0.796	0.896	0.897	0.73	0.869	0.752	0.897	0.818	0.879	0.736	0.712	0.824	0.737	0.831	0.814	0.812	0.776	0.873	0.848
