29
17.096	39.577
28.188	47.568
1.925	27.136	1.0
31.985	42.613	1.0
40.733	20.94	1.0
19.399	6.301	1.0
27.487	11.687	1.0
47.707	41.463	1.0
11.587	36.909	1.0
46.376	17.743	1.0
28.09	54.706	1.0
49.37	9.175	1.0
37.761	37.76	1.0
16.196	42.233	1.0
33.874	19.248	1.0
26.147	2.98	1.0
23.501	39.044	1.0
22.658	53.3	1.0
12.019	7.315	1.0
26.92	36.195	1.0
16.442	15.467	1.0
56.888	52.753	1.0
55.39	18.838	1.0
3.652	1.014	1.0
3.483	36.764	1.0
41.333	42.446	1.0
6.953	43.497	1.0
14.814	53.363	1.0
3.678	14.606	1.0
20.657	43.164	1.0
9.903	0.292	1.0
0.848	0.806	0.754	0.77	0.785	0.787	0.803	0.792	0.839	0.752	0.887	0.817	0.741	0.791	0.798	0.779	0.721	0.888	0.845	0.774	0.717	0.782	0.806	0.843	0.763	0.893	0.852	0.708	0.861
