23
39.91	5.443
51.841	54.911
5.933	17.812	1.0
58.413	47.03	1.0
13.426	17.033	1.0
51.444	22.266	1.0
53.171	28.969	1.0
46.965	0.269	1.0
15.872	49.554	1.0
48.491	52.469	1.0
0.307	52.318	1.0
37.871	53.914	1.0
8.537	49.424	1.0
8.793	44.813	1.0
56.4	34.182	1.0
51.041	51.071	1.0
56.718	12.602	1.0
27.126	52.558	1.0
26.822	58.835	1.0
38.288	27.116	1.0
19.743	30.851	1.0
25.846	28.739	1.0
43.532	8.174	1.0
22.459	31.561	1.0
15.576	11.653	1.0
0.71	0.778	0.779	0.733	0.9	0.821	0.81	0.833	0.841	0.757	0.89	0.707	0.86	0.879	0.85	0.856	0.728	0.889	0.792	0.788	0.743	0.788	0.857
