29
10.489	27.546
1.591	10.519
55.874	61.831	1.0
35.424	50.706	1.0
65.883	66.388	1.0
5.159	4.409	1.0
0.969	53.334	1.0
43.474	17.127	1.0
56.935	57.376	1.0
57.95	50.006	1.0
19.914	25.67	1.0
33.689	4.604	1.0
42.863	6.326	1.0
42.388	48.762	1.0
6.435	7.864	1.0
35.866	13.085	1.0
25.337	8.336	1.0
31.576	60.473	1.0
57.539	28.507	1.0
23.681	57.331	1.0
7.967	63.616	1.0
19.751	56.348	1.0
9.015	26.048	1.0
18.793	53.74	1.0
32.586	20.646	1.0
15.649	18.374	1.0
58.571	33.93	1.0
0.864	15.685	1.0
46.102	57.912	1.0
24.146	33.43	1.0
16.518	63.452	1.0
0.75	0.883	0.883	0.893	0.899	0.862	0.787	0.775	0.898	0.81	0.851	0.845	0.859	0.743	0.761	0.814	0.896	0.772	0.715	0.785	0.73	0.733	0.871	0.752	0.84	0.728	0.853	0.894	0.842
