29
21.462	43.187
1.459	43.537
27.937	11.63	1.0
34.984	23.343	1.0
24.181	26.664	1.0
35.352	40.184	1.0
19.787	35.818	1.0
37.169	27.948	1.0
0.92	7.04	1.0
16.129	16.419	1.0
7.926	26.819	1.0
11.854	46.224	1.0
22.498	30.321	1.0
33.221	10.442	1.0
9.568	6.063	1.0
45.078	30.799	1.0
37.591	8.451	1.0
30.15	40.835	1.0
38.797	42.961	1.0
29.186	14.661	1.0
6.518	20.307	1.0
32.581	36.374	1.0
9.67	15.171	1.0
44.454	8.905	1.0
2.398	37.359	1.0
37.911	36.02	1.0
31.242	28.073	1.0
4.377	33.191	1.0
15.711	34.559	1.0
5.259	35.97	1.0
15.438	4.997	1.0
0.762	0.726	0.774	0.886	0.761	0.785	0.744	0.852	0.777	0.791	0.78	0.846	0.726	0.795	0.782	0.785	0.892	0.778	0.707	0.882	0.864	0.847	0.755	0.714	0.786	0.821	0.865	0.877	0.739
