19
90	62
359	316
142	284	3.27973
315	119	10.9578
14	178	12.9495
318	315	3.45475
290	327	5.28618
14	295	3.31405
104	88	3.33335
64	59	2.80093
339	38	14.6834
42	275	5.67536
84	308	8.28692
4	317	2.46312
128	313	3.37668
58	37	2.84478
127	348	6.39326
100	231	6.01607
176	159	10.3224
292	277	6.99977
134	220	3.90159
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
