26
37.796	44.449
7.558	51.869
19.402	14.058	1.0
10.594	39.47	1.0
0.948	29.863	1.0
33.544	19.329	1.0
7.893	2.743	1.0
19.618	8.501	1.0
27.442	19.144	1.0
30.142	46.106	1.0
54.183	32.868	1.0
14.54	46.644	1.0
49.318	51.807	1.0
10.362	23.874	1.0
15.904	25.023	1.0
23.255	36.698	1.0
25.163	0.675	1.0
49.377	11.71	1.0
31.033	38.395	1.0
39.637	52.977	1.0
31.371	14.881	1.0
32.951	41.65	1.0
16.796	5.907	1.0
43.166	8.859	1.0
25.882	52.07	1.0
3.139	46.946	1.0
30.176	28.493	1.0
7.532	34.585	1.0
0.856	0.817	0.702	0.702	0.807	0.864	0.778	0.75	0.742	0.756	0.82	0.744	0.843	0.827	0.815	0.775	0.846	0.722	0.849	0.767	0.897	0.82	0.743	0.832	0.757	0.759
