22
25.174	17.546
3.528	28.664
7.348	28.691	1.0
21.951	21.374	1.0
17.375	17.911	1.0
35.951	18.991	1.0
37.059	13.324	1.0
13.095	12.435	1.0
1.377	29.983	1.0
31.42	38.364	1.0
8.664	31.647	1.0
32.997	19.039	1.0
40.949	21.068	1.0
16.837	20.484	1.0
0.552	5.291	1.0
2.328	25.696	1.0
2.658	17.558	1.0
4.881	2.003	1.0
11.223	29.314	1.0
24.253	14.05	1.0
12.058	21.521	1.0
19.991	24.833	1.0
4.118	21.017	1.0
16.124	23.346	1.0
0.505	0.605	0.554	0.654	0.58	0.627	0.605	0.638	0.658	0.634	0.665	0.567	0.647	0.696	0.608	0.502	0.638	0.674	0.505	0.591	0.597	0.552
