26
10.169	27.402
25.979	41.36
43.559	12.393	1.0
41.354	33.962	1.0
3.547	37.59	1.0
8.723	48.767	1.0
26.598	2.801	1.0
63.232	49.493	1.0
48.831	54.976	1.0
0.202	9.467	1.0
12.667	39.759	1.0
24.124	30.898	1.0
19.133	25.032	1.0
58.473	49.721	1.0
27.64	53.974	1.0
61.47	32.119	1.0
38.5	60.295	1.0
14.929	43.574	1.0
19.774	2.556	1.0
59.056	62.747	1.0
47.885	48.084	1.0
51.434	46.43	1.0
37.516	15.401	1.0
28.034	42.378	1.0
49.038	20.465	1.0
10.345	60.107	1.0
51.91	25.487	1.0
45.553	7.674	1.0
0.821	0.883	0.771	0.833	0.834	0.793	0.817	0.798	0.873	0.762	0.717	0.86	0.897	0.805	0.789	0.843	0.735	0.859	0.756	0.871	0.731	0.899	0.802	0.845	0.872	0.828
