21
45.98	19.075
50.893	12.38
47.461	26.453	1.0
12.201	3.574	1.0
40.885	21.459	1.0
41.64	2.721	1.0
32.687	38.982	1.0
41.539	43.809	1.0
14.515	41.566	1.0
18.541	13.326	1.0
42.672	49.381	1.0
44.91	21.223	1.0
12.117	40.512	1.0
1.258	54.016	1.0
41.147	25.496	1.0
26.113	45.79	1.0
8.113	25.778	1.0
13.171	23.528	1.0
1.021	34.498	1.0
1.168	6.512	1.0
25.614	29.996	1.0
35.983	44.433	1.0
37.386	0.068	1.0
0.83	0.73	0.874	0.804	0.713	0.874	0.717	0.733	0.864	0.731	0.715	0.827	0.897	0.834	0.804	0.857	0.885	0.89	0.866	0.807	0.814
