21
18.432	11.113
33.832	48.969
28.916	44.058	1.0
0.69	5.132	1.0
45.046	34.396	1.0
44.706	53.707	1.0
12.108	19.472	1.0
14.163	55.344	1.0
41.621	14.266	1.0
0.12	12.728	1.0
51.735	54.064	1.0
20.851	33.976	1.0
10.141	48.564	1.0
17.206	25.208	1.0
15.703	16.912	1.0
41.748	23.47	1.0
27.649	37.62	1.0
56.075	17.088	1.0
24.655	38.751	1.0
36.789	22.147	1.0
34.648	2.425	1.0
16.653	36.563	1.0
50.799	7.4	1.0
0.768	0.888	0.736	0.82	0.709	0.78	0.866	0.77	0.804	0.793	0.747	0.786	0.7	0.779	0.749	0.876	0.867	0.749	0.839	0.822	0.807
