29
9.291	28.847
51.353	17.046
19.582	27.787	1.0
11.997	23.029	1.0
37.553	19.202	1.0
24.095	6.248	1.0
37.52	8.043	1.0
26.024	20.754	1.0
3.083	40.734	1.0
43.532	27.032	1.0
27.251	39.175	1.0
40.26	56.767	1.0
36.96	3.592	1.0
5.11	33.541	1.0
49.24	24.915	1.0
31.944	5.399	1.0
28.442	46.202	1.0
44.227	40.619	1.0
26.022	24.013	1.0
29.896	28.288	1.0
53.777	41.021	1.0
29.382	42.511	1.0
32.86	18.747	1.0
33.871	8.243	1.0
38.663	11.737	1.0
28.479	49.139	1.0
24.487	28.67	1.0
53.604	11.879	1.0
4.241	8.164	1.0
44.767	49.978	1.0
24.411	40.933	1.0
0.849	0.865	0.726	0.84	0.887	0.886	0.859	0.726	0.826	0.757	0.864	0.796	0.809	0.742	0.786	0.704	0.855	0.888	0.716	0.868	0.878	0.862	0.866	0.772	0.823	0.829	0.726	0.753	0.807
