34
1033	476
179	403
1044	524	17.4231
976	98	11.631
128	714	32.8364
803	545	38.0914
140	213	49.5043
62	1102	18.9949
1123	660	50.0225
747	1055	36.8318
521	976	18.0791
672	1147	43.0705
966	330	19.6519
525	1022	14.5197
129	413	17.8945
1025	896	23.7743
264	215	45.4976
1065	390	13.2892
193	342	21.9857
172	635	33.2661
294	455	38.771
19	1016	36.2989
900	498	36.2871
338	721	11.8094
721	934	48.8331
112	1116	20.0335
963	274	20.3723
965	135	12.7999
644	43	41.2858
363	703	9.61379
1022	397	13.8711
1136	1003	52.8552
462	512	55.456
739	116	37.1759
999	835	23.8205
459	1036	23.153
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
