21
44.007	42.452
29.833	16.118
1.687	15.346	1.0
36.097	40.372	1.0
40.373	4.778	1.0
37.756	13.984	1.0
25.848	19.017	1.0
3.741	46.208	1.0
31.601	42.522	1.0
44.778	35.35	1.0
0.004	45.461	1.0
2.703	1.188	1.0
8.107	4.211	1.0
12.018	37.518	1.0
26.756	11.14	1.0
4.645	26.919	1.0
7.037	15.423	1.0
38.154	16.655	1.0
7.029	23.62	1.0
9.992	8.339	1.0
34.8	25.531	1.0
40.578	18.794	1.0
26.698	45.982	1.0
0.895	0.703	0.858	0.729	0.769	0.846	0.878	0.868	0.749	0.814	0.745	0.725	0.753	0.704	0.724	0.888	0.831	0.867	0.841	0.703	0.872
