30
35.206	39.857
3.538	32.482
16.961	27.68	1.0
50.952	36.08	1.0
2.529	12.871	1.0
28.802	37.102	1.0
30.452	40.421	1.0
53.306	48.583	1.0
41.614	23.318	1.0
34.815	48.723	1.0
7.122	4.309	1.0
20.527	49.445	1.0
55.151	8.046	1.0
58.097	27.972	1.0
15.276	49.238	1.0
43.998	29.046	1.0
40.868	5.617	1.0
53.163	14.499	1.0
47.454	9.642	1.0
7.772	51.34	1.0
22.494	19.107	1.0
27.135	55.502	1.0
48.129	51.354	1.0
13.695	28.029	1.0
2.396	48.686	1.0
36.1	41.313	1.0
12.014	56.865	1.0
23.257	1.791	1.0
32.737	7.371	1.0
6.012	7.464	1.0
18.714	53.706	1.0
54.002	38.434	1.0
0.826	0.833	0.717	0.752	0.858	0.788	0.712	0.825	0.731	0.777	0.887	0.713	0.883	0.816	0.838	0.722	0.742	0.887	0.764	0.803	0.767	0.815	0.743	0.834	0.738	0.847	0.773	0.784	0.811	0.771
