26
59.159	54.232
35.996	32.464
7.117	47.008	1.0
48.515	35.74	1.0
12.852	37.13	1.0
47.01	62.96	1.0
22.299	0.653	1.0
14.801	16.943	1.0
57.058	47.653	1.0
59.403	18.271	1.0
50.561	12.283	1.0
43.268	58.783	1.0
43.259	25.795	1.0
2.935	50.503	1.0
10.661	29.654	1.0
39.702	59.386	1.0
58.739	39.417	1.0
62.213	53.425	1.0
27.637	51.187	1.0
26.748	11.227	1.0
50.655	23.59	1.0
36.093	13.943	1.0
60.995	47.37	1.0
19.883	49.45	1.0
59.838	51.805	1.0
12.914	9.45	1.0
54.983	8.652	1.0
37.31	37.695	1.0
0.703	0.798	0.873	0.892	0.896	0.729	0.828	0.705	0.713	0.85	0.748	0.836	0.834	0.842	0.774	0.863	0.802	0.775	0.87	0.875	0.852	0.773	0.86	0.793	0.836	0.763
