21
11.915	38.498
33.901	7.459
54.757	24.696	1.0
29.72	3.007	1.0
51.648	37.139	1.0
43.082	29.5	1.0
33.242	52.025	1.0
1.918	4.471	1.0
5.956	46.083	1.0
47.542	33.199	1.0
49.594	19.553	1.0
35.496	24.975	1.0
22.359	23.005	1.0
47.01	4.575	1.0
12.363	52.753	1.0
43.089	24.827	1.0
40.981	9.768	1.0
44.44	3.933	1.0
41.681	50.311	1.0
20.99	43.513	1.0
25.504	13.503	1.0
23.758	40.479	1.0
32.77	32.967	1.0
0.714	0.801	0.824	0.85	0.703	0.708	0.743	0.725	0.859	0.794	0.716	0.709	0.804	0.765	0.741	0.829	0.775	0.893	0.787	0.729	0.719
