22
33.19	8.461
14.884	13.051
0.012	5.199	1.0
12.366	9.169	1.0
26.957	6.636	1.0
15.592	3.936	1.0
22.005	25.316	1.0
19.298	17.349	1.0
31.06	4.142	1.0
20.056	5.592	1.0
23.828	32.341	1.0
27.65	17.096	1.0
21.723	13.137	1.0
17.845	28.869	1.0
7.765	17.551	1.0
1.633	18.294	1.0
8.359	9.829	1.0
3.923	31.685	1.0
26.427	27.412	1.0
14.596	19.836	1.0
26.276	24.371	1.0
32.429	16.254	1.0
8.796	32.816	1.0
13.577	1.793	1.0
0.682	0.502	0.544	0.565	0.511	0.605	0.568	0.515	0.608	0.676	0.539	0.669	0.565	0.65	0.543	0.501	0.668	0.639	0.667	0.698	0.601	0.579
