21
14.865	18.267
35.599	37.644
11.675	0.294	1.0
30.477	7.144	1.0
0.376	35.482	1.0
34.837	23.703	1.0
19.014	38.513	1.0
28.181	27.989	1.0
15.195	0.572	1.0
15.794	21.402	1.0
30.239	13.204	1.0
19.362	7.145	1.0
33.544	6.401	1.0
22.919	27.266	1.0
6.317	27.925	1.0
22.936	34.944	1.0
31.566	0.186	1.0
39.984	11.635	1.0
7.601	23.098	1.0
8.951	17.204	1.0
33.303	25.847	1.0
36.583	30.191	1.0
33.339	39.178	1.0
0.888	0.742	0.745	0.824	0.703	0.753	0.84	0.882	0.87	0.718	0.846	0.871	0.761	0.855	0.89	0.85	0.869	0.812	0.832	0.758	0.854
