33
943	504
1019	385
439	1073	71.8248
47	1060	60.791
904	394	44.5006
651	636	32.3179
75	177	25.25
958	840	38.6072
523	840	86.6956
1063	298	35.7839
661	321	40.6669
595	402	35.9621
235	1072	68.1389
327	446	19.5641
195	663	40.2212
912	738	7.90839
22	335	27.5599
206	369	20.7824
744	210	4.45258
627	542	37.8048
152	33	54.9378
368	402	22.353
897	757	8.61991
239	429	24.9359
909	639	35.7171
737	222	5.27539
357	498	18.8801
40	248	28.2553
886	529	23.9301
201	551	42.3337
920	270	46.1176
1072	679	50.451
481	602	47.7225
747	586	43.1823
1067	182	46.0627
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
