26
17.591	22.973
16.048	2.406
40.819	16.881	1.0
27.376	28.084	1.0
20.601	43.276	1.0
24.051	44.504	1.0
18.071	25.503	1.0
9.888	37.758	1.0
33.09	27.311	1.0
17.571	39.396	1.0
11.738	11.139	1.0
24.757	11.762	1.0
26.522	36.233	1.0
36.367	19.811	1.0
10.881	15.772	1.0
24.397	18.95	1.0
28.889	23.352	1.0
29.494	38.778	1.0
9.443	22.759	1.0
16.004	31.944	1.0
1.247	4.502	1.0
34.848	4.258	1.0
31.053	4.268	1.0
7.564	8.371	1.0
37.925	25.037	1.0
6.294	44.994	1.0
1.717	9.625	1.0
34.081	7.086	1.0
0.796	0.887	0.875	0.884	0.748	0.749	0.887	0.732	0.806	0.705	0.873	0.816	0.709	0.792	0.755	0.803	0.87	0.799	0.729	0.775	0.897	0.891	0.803	0.743	0.871	0.793
