29
38.856	6.556
9.057	11.707
32.447	45.249	1.0
34.047	4.975	1.0
9.797	14.274	1.0
8.045	37.109	1.0
13.593	7.106	1.0
22.579	5.1	1.0
12.274	42.365	1.0
26.413	42.942	1.0
17.724	21.62	1.0
11.157	3.439	1.0
20.377	16.131	1.0
29.265	12.551	1.0
34.481	26.466	1.0
40.753	13.406	1.0
19.763	25.08	1.0
38.466	0.969	1.0
17.149	25.241	1.0
19.452	3.701	1.0
29.368	17.116	1.0
16.127	4.077	1.0
8.062	5.074	1.0
31.162	7.883	1.0
10.27	21.262	1.0
31.127	0.981	1.0
44.772	13.559	1.0
11.75	30.852	1.0
14.902	29.466	1.0
26.908	18.215	1.0
31.004	31.943	1.0
0.8	0.786	0.814	0.846	0.704	0.863	0.802	0.875	0.712	0.738	0.806	0.765	0.764	0.772	0.714	0.839	0.738	0.838	0.833	0.873	0.805	0.896	0.706	0.838	0.809	0.716	0.87	0.797	0.883
