18
201	219
255	161
12	273	14.1022
210	177	4.0635
30	186	5.98756
144	275	5.10219
164	287	4.71382
63	260	15.2943
203	160	5.36293
134	96	12.3053
166	0	15.6278
265	147	4.78959
88	77	14.4535
310	59	27.7139
229	1	18.2712
49	174	4.54475
183	298	5.99383
267	209	9.9625
62	201	6.08379
280	276	14.9612
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
