23
15.468	3.446
8.05	39.957
49.521	6.67	1.0
40.265	2.893	1.0
34.599	17.035	1.0
46.43	24.277	1.0
29.917	2.178	1.0
12.556	34.944	1.0
1.387	24.514	1.0
41.465	45.284	1.0
45.057	12.577	1.0
29.545	39.514	1.0
35.74	46.961	1.0
26.842	50.909	1.0
5.132	41.912	1.0
37.443	28.481	1.0
29.312	23.739	1.0
22.402	42.87	1.0
39.953	36.937	1.0
7.607	18.69	1.0
32.935	21.117	1.0
38.539	7.041	1.0
28.445	31.747	1.0
49.914	46.062	1.0
35.781	12.101	1.0
0.814	0.875	0.77	0.834	0.876	0.745	0.863	0.878	0.737	0.864	0.88	0.731	0.81	0.827	0.716	0.808	0.755	0.772	0.761	0.897	0.744	0.742	0.744
