35
729	278
1027	274
460	859	15.7979
975	965	31.4456
355	1100	23.5971
255	1206	14.3766
1096	415	13.7239
904	1111	17.7715
1054	453	13.6371
191	1208	15.598
696	1155	13.9354
678	490	36.959
944	190	15.9855
642	802	44.4051
616	1126	16.5708
112	890	52.6362
830	1149	19.5666
399	522	18.1128
911	758	12.1344
879	235	17.1653
449	227	56.4139
753	1120	17.9452
269	172	11.397
1111	796	40.6175
1217	710	33.3646
453	1066	26.9466
819	1012	34.3485
395	841	9.70162
423	458	15.1327
372	869	7.95883
831	168	20.8361
797	88	22.9375
259	219	13.5212
928	795	10.7805
763	349	20.1432
1096	1006	27.7493
569	1088	14.8537
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
