25
15.988	41.916
10.14	18.459
1.769	44.501	1.0
7.179	21.536	1.0
54.155	24.334	1.0
32.984	6.189	1.0
30.87	10.132	1.0
32.372	1.862	1.0
44.488	27.513	1.0
45.603	20.112	1.0
53.997	32.747	1.0
36.189	53.069	1.0
35.992	20.159	1.0
24.686	5.59	1.0
19.1	21.243	1.0
24.909	19.324	1.0
23.148	47.047	1.0
51.037	29.82	1.0
16.936	3.316	1.0
34.025	54.358	1.0
2.162	0.816	1.0
21.765	50.035	1.0
10.67	53.06	1.0
51.721	36.197	1.0
26.235	31.969	1.0
50.759	57.627	1.0
60.159	37.834	1.0
0.852	0.859	0.795	0.722	0.849	0.725	0.773	0.849	0.889	0.744	0.85	0.705	0.788	0.778	0.845	0.832	0.816	0.73	0.891	0.747	0.783	0.83	0.82	0.795	0.899
