30
38.78	35.108
53.897	18.468
41.917	29.738	1.0
12.266	11.246	1.0
51.42	24.322	1.0
33.498	22.607	1.0
41.546	45.523	1.0
3.688	14.19	1.0
26.493	53.434	1.0
5.983	7.901	1.0
49.848	30.45	1.0
46.792	33.913	1.0
43.564	18.977	1.0
4.947	37.359	1.0
18.435	11.396	1.0
37.426	17.65	1.0
0.045	10.194	1.0
4.025	28.905	1.0
12.927	51.606	1.0
19.328	55.02	1.0
19.186	43.812	1.0
8.547	38.169	1.0
34.545	10.688	1.0
8.378	14.361	1.0
31.338	16.137	1.0
17.421	51.744	1.0
37.725	7.056	1.0
2.121	48.399	1.0
51.499	52.69	1.0
34.021	5.685	1.0
25.526	25.395	1.0
45.639	44.899	1.0
0.848	0.705	0.752	0.849	0.741	0.711	0.705	0.722	0.881	0.883	0.825	0.765	0.839	0.784	0.765	0.883	0.769	0.725	0.768	0.866	0.741	0.869	0.883	0.8	0.85	0.718	0.886	0.791	0.801	0.858
