28	5
67	222
343	204
87	14	0.16636
87	13	0.249563
87	21	0.807806
86	23	0.150126
92	14	0.531423
90	13	0.193983
323	231	0.848218
330	229	1.50739
325	230	0.20646
321	226	0.806371
328	235	0.549436
324	227	0.22012
522	28	0.194684
518	25	0.983139
519	34	2.38416
522	27	0.247215
521	26	0.196043
525	32	0.162006
512	451	0.194217
515	447	0.754018
513	445	0.209396
512	453	0.565443
513	450	0.429937
203	531	1.32403
208	523	0.70236
209	525	0.15544
209	528	1.19262
202	527	0.212071
0.424195	0.377134	0.360192	0.405207	0.350479	0.358243	0.490335	0.482317	0.307646	0.341001	0.480594	0.346603	0.340924	0.380074	0.336677	0.358825	0.472839	0.302844	0.390749	0.399395	0.422214	0.338159	0.446806	0.498095	0.388732	0.494519	0.306961	0.315007
0.456374	0.56649	0.587466	0.447327	0.5726	0.41859	0.478649	0.571763	0.500521	0.44093	0.428304	0.541334	0.577238	0.427878	0.577051	0.488276	0.595376	0.533352	0.451191	0.484699	0.403899	0.41078	0.481753	0.454337	0.495461	0.495066	0.529677	0.503562
