33
358	667
1018	1041
890	974	32.8755
566	446	29.8497
749	801	9.95441
698	667	28.0012
930	791	38.483
251	313	21.8878
175	239	26.5373
752	579	26.3883
539	670	19.3406
382	510	19.2524
430	406	22.427
796	283	18.2316
80	594	30.7103
852	347	13.8835
396	1089	26.4554
628	139	37.7548
442	485	16.084
704	406	18.2676
704	807	13.0017
300	170	34.2966
3	698	29.8499
134	20	64.6354
860	293	11.3008
487	543	17.2735
495	246	17.0801
788	392	22.6621
191	457	40.3293
484	616	16.8583
385	978	25.6936
1015	170	18.9317
444	197	17.6651
944	213	23.1075
619	531	29.9647
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
