33
550	417
570	903
322	616	69.3501
858	709	42.1907
823	51	6.85161
89	735	33.0869
530	1080	68.2285
1059	734	34.8955
443	288	20.6512
146	168	4.69982
1040	164	66.1754
32	1070	25.8021
991	329	52.2326
826	87	13.5819
242	787	39.0805
352	834	39.2588
546	459	16.3066
997	988	28.4926
881	486	26.1345
6	708	30.5556
84	632	39.3522
514	653	53.4511
11	34	70.6345
253	455	69.8199
408	338	23.1293
803	46	7.0365
160	170	5.00903
1	990	25.9419
945	461	26.9285
957	777	35.0139
639	737	58.4385
590	206	64.2295
964	652	36.5026
969	1056	24.0485
182	991	63.9195
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
