16
29	89
60	46
2.82968	1.7389	1.02225	5.95638	3.69258	4.39342	6.02915	0.663612	9.72048	1.04447	3.31503	0.807995	19.2994	1.04408	5.38336	5.20245	
243	103
221	82
240	121
86	50
276	111
232	144
88	280
300	116
7	2
228	91
130	60
108	121
61	173
96	251
206	185
164	130
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	
10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	
