32
240	112
435	196
734	571	14.317
661	406	11.6504
612	617	17.8872
401	382	19.0628
564	167	4.48332
105	327	48.5673
753	530	17.9834
873	227	55.7383
574	173	4.5269
450	711	27.0539
216	67	19.3048
423	259	5.1471
711	699	29.6267
111	601	99.8792
688	383	11.5661
162	950	14.1487
876	82	56.7838
836	408	44.4909
143	908	18.1768
585	692	15.4695
434	269	5.52495
874	967	58.7798
534	684	17.6972
79	176	14.3213
450	40	51.1984
739	835	45.6672
25	897	42.4835
621	670	16.0462
38	155	15.2268
994	458	65.6233
289	890	54.4631
419	333	19.1212
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
