28
130	210
19	279
624	70	17.0711
390	141	30.0336
432	72	31.5305
198	283	10.3495
217	307	9.60052
503	756	28.3494
352	504	19.3939
14	318	14.2568
735	366	14.5269
583	55	14.0144
344	441	13.2234
710	98	14.1674
595	416	37.3019
736	61	14.8108
481	214	46.3085
440	497	28.1291
265	342	19.2165
536	691	23.1188
647	764	42.0497
11	567	57.8364
659	486	29.4679
614	257	49.5265
150	730	13.7826
315	553	21.1359
310	452	12.7217
696	365	14.6996
143	457	62.957
159	775	15.8468
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
