6	e	67.4846	60.8962	3.93472
6	m	66.5164	60.5369	3.57104
6	h	64.0705	58.5083	3.32187
7	e	84.1656	77.3881	3.9507
7	m	73.3492	67.6706	3.30285
7	h	74.2597	68.5598	3.31526
8	e	91.3229	83.5275	4.45226
8	m	87.196	81.2863	3.37038
8	h	78.6171	72.1549	3.68549
9	e	93.9684	86.612	4.13784
9	m	93.3958	85.7675	4.28507
9	h	93.5503	86.6421	3.88049
10	e	116.105	107.647	4.69836
10	m	108.635	100.541	4.49172
10	h	102.743	95.3485	4.10389
11	e	124.871	115.798	4.99041
11	m	113.391	105.995	4.06518
11	h	119.488	112.529	3.82457
12	e	142.914	134.094	4.81146
12	m	123.368	115.04	4.54001
12	h	118.691	110.119	4.67313
13	e	151.382	141.137	5.55033
13	m	136.884	127.566	5.04517
13	h	136.44	128.617	4.23583
14	e	159.387	150.213	4.94092
14	m	131.743	122.849	4.7876
14	h	146.087	137.817	4.45156
15	e	172.862	161.489	6.09316
15	m	161.939	152.378	5.12029
15	h	151.765	142.045	5.20544
16	e	182.203	171.708	5.59818
16	m	169.574	159.616	5.30955
16	h	171.22	161.377	5.24857
17	e	196.852	186.386	5.561
17	m	186.152	176.097	5.34029
17	h	178.92	168.588	5.48731
18	e	217.442	205.183	6.4905
18	m	193.226	182.261	5.80414
18	h	192.681	182.133	5.58316
19	e	217.574	205.593	6.32432
19	m	190.982	179.804	5.89887
19	h	193.381	182.784	5.59217
20	e	234.747	221.284	7.08687
20	m	206.783	194.307	6.56561
20	h	218.346	206.468	6.25059
21	e	222.357	211.7	5.59449
22	e	227.958	217.113	5.68026
23	e	242.218	230.388	6.18356
24	e	246.876	235.373	6.001
25	e	257.063	244.85	6.36087
26	e	258.07	247.182	5.66138
27	e	281.86	269.135	6.60667
28	e	288.925	275.686	6.8644
29	e	309.826	297.298	6.48695
30	e	314.263	300.424	7.15813
