34
286	35
374	259
743	151	48.0221
465	827	14.9721
904	665	20.5225
236	617	44.6763
342	348	27.5815
40	326	13.7855
83	793	35.184
1000	276	21.0784
195	355	25.8307
416	113	19.7229
840	613	5.54888
17	196	32.8712
168	947	40.2977
1091	354	6.66285
1064	661	25.2557
232	773	33.6676
1075	337	4.83018
51	1045	32.9204
493	454	48.0014
246	252	24.5557
675	714	39.0575
73	377	15.2633
688	1085	27.3078
233	1081	39.9398
534	1129	12.8007
110	44	47.6661
1155	679	19.293
840	368	49.5712
344	174	18.6602
304	866	30.976
1104	1040	99.3089
491	871	13.6357
591	1148	14.6617
832	638	7.30295
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
