18
261	51
330	92
61.2518	58.1771	30.2169	7.25844	10.6077	16.3412	7.58135	24.7863	4.461	7.20837	45.5522	17.9504	8.12862	28.2183	3.9246	30.9635	3.02545	2.0177	
321	217
151	15
13	95
261	343
210	211
160	206
18	35
176	142
226	188
280	325
342	14
115	244
287	348
202	341
1	44
111	321
261	45
119	273
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	
10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	
