18
211	345
275	207
5.23185	7.73298	6.91002	13.2377	15.3599	31.1442	9.65925	5.76646	8.46879	9.2233	35.38	10.351	3.48376	12.5026	1.99437	1.70347	10.2033	14.0705	
8	165
222	120
89	62
356	193
195	228
349	76
130	45
238	94
202	85
183	332
87	323
9	247
96	33
303	208
12	180
349	162
129	212
65	217
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	
10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	
